timestamp	price	open	close	low	high	volume
2020-06-01 00:00:00+00:00	9498.31	9448.27	9498.31	9421.67	9508.57	1742.125917
2020-06-01 01:00:00+00:00	9551.58	9498.78	9551.58	9465.3	9570	2064.37821
2020-06-01 02:00:00+00:00	9530.67	9551.17	9530.67	9526.87	9568.61	1984.956728
2020-06-01 03:00:00+00:00	9555.79	9531.7	9555.79	9514.65	9571.66	1620.638978
2020-06-01 04:00:00+00:00	9549.02	9556.14	9549.02	9541.96	9619	2787.512219
2020-06-01 05:00:00+00:00	9536.88	9549.02	9536.88	9526.2	9566	1411.852898
2020-06-01 06:00:00+00:00	9537.66	9536.33	9537.66	9529.24	9561	1508.971676
2020-06-01 07:00:00+00:00	9571.47	9537.66	9571.47	9536.65	9584.37	1831.004752
2020-06-01 08:00:00+00:00	9540.3	9571.18	9540.3	9530	9581.99	1599.646355
2020-06-01 09:00:00+00:00	9541.21	9540.54	9541.21	9528.62	9561.69	1441.318955
2020-06-01 10:00:00+00:00	9543.24	9541.71	9543.24	9513.36	9550	1575.797277
2020-06-01 11:00:00+00:00	9513.22	9542.32	9513.22	9511	9552.14	1424.183732
2020-06-01 12:00:00+00:00	9555.01	9512.8	9555.01	9491.45	9590.26	3042.940788
2020-06-01 13:00:00+00:00	9553.62	9555.65	9553.62	9543.64	9571.99	1266.849892
2020-06-01 14:00:00+00:00	9563.03	9553.14	9563.03	9547.06	9580.72	1924.365247
2020-06-01 15:00:00+00:00	9546.98	9563.13	9546.98	9500	9565.43	1915.784823
2020-06-01 16:00:00+00:00	9584.28	9548.18	9584.28	9536.99	9610	3086.584917
2020-06-01 17:00:00+00:00	9575.29	9584.29	9575.29	9563.26	9592.59	1176.977333
2020-06-01 18:00:00+00:00	9579.7	9575.29	9579.7	9555.24	9587.01	996.499709
2020-06-01 19:00:00+00:00	9572.48	9579.97	9572.48	9561.29	9612.76	1688.498467
2020-06-01 20:00:00+00:00	9668.71	9572.5	9668.71	9558.57	9688	3151.002213
2020-06-01 21:00:00+00:00	9653	9670	9653	9626.93	9700	2704.786537
2020-06-01 22:00:00+00:00	9739.51	9653	9739.51	9652.44	9746.83	4024.163029
2020-06-01 23:00:00+00:00	10200.77	9740	10200.77	9739.99	10380	30678.28631
2020-06-02 00:00:00+00:00	10108.49	10202.71	10108.49	10088.45	10228.99	9036.257893
2020-06-02 01:00:00+00:00	10125	10108.79	10125	10058.41	10130.5	7354.397076
2020-06-02 02:00:00+00:00	10090.76	10124.99	10090.76	10051	10125	4485.112201
2020-06-02 03:00:00+00:00	10096.86	10090.34	10096.86	10041.59	10105.91	2970.161447
